1,1275.969,1104.869,634.93,2411.75,1314.741,1807.692,1471,1875.932,887.125,917.118,1349.441,1309.406,1337.441,1576.618,1276.656,1316.469,1731.25,1296.431,4090.812,697.325,637.5,695.881,779.722,243.391
2,1271.656,1180.082,684.523,2579.545,1349.948,1863.808,1427.135,1475.955,999.438,884.324,1219.5,1543.906,1346.706,1870.5,1300.25,1173.531,1321.031,1301.255,1866.312,651.638,609.875,600.167,699.972,219.953
3,1376.031,1142.18,706.477,2453.409,1311.362,1718.692,1385.635,1729.909,832.656,866.618,1225.588,1391.875,1266.882,1577.677,1159.094,1232.719,852.031,1290.412,1284.438,709.65,705.781,769.095,683.667,255.469
4,1261.984,1162.508,648.779,2383.727,1408.379,1813.538,1370.212,1849.295,917.312,870.853,1279.794,1343.688,1136.765,1554.029,1236.094,1231.125,410,1297.823,1286.938,762.388,739.969,745.524,832.389,232.125
5,1233.578,1149.623,738.058,2508.864,1326.966,1799.692,1378.962,1806.773,942.344,876.324,1292.088,1318.062,1233.471,1471.882,1160.531,1342.312,305.656,1254.431,1105.75,777.062,708.406,646.571,818.611,302.562
6,1263.469,1169.82,710.849,2631.25,1357.534,1824.231,1329.288,1870.909,913.125,875.176,1233.177,1258.469,1406.853,1577.618,1268.562,1218.5,334.188,1212.823,977,717.375,654.312,668.5,849.611,308.922
7,1265.562,1168.525,896.093,2453.909,1316.897,1786.923,1418.442,1730.159,965.594,788.353,1248.235,1482.125,1287.853,1458.382,1319.562,1253.906,328.094,1336.529,1117.938,681.875,816.75,620,746.111,263.938
8,1287.766,1078.803,677.895,2500.068,1302.862,1733.038,1369.692,1629.523,1053.969,864.853,1355.882,1432.406,1316.147,1613.5,1079.5,1306.625,301.719,1300.902,1088,685.6,651.031,637.905,716.25,293.859
9,1268.281,1105.869,690.93,2600.955,1345.776,1957.269,1394.385,1937.5,950.844,797.118,1347.147,1447.75,1210.265,1473.941,1242.375,1204.031,362.938,1295.549,1078.781,661.3,669.562,589.548,816.75,298.391
10,1236.25,1136.852,711.558,2312.591,1330.224,1839.385,1364.788,1544.341,1113.594,821.618,1584.5,1383.906,1237.647,1412.941,1272.219,1219.906,278.281,1254.647,1212.094,660.125,756.5,628.5,724.25,262.422
11,1196.281,1129.18,756.826,2416.886,1347.776,1902.231,1409.788,1646.091,1043.469,1005.529,1443.794,1220.312,1301.088,1559.647,1204.406,1336.281,318.406,1236.294,1164.469,706.375,528.719,659.19,783.389,267.391
12,1186.562,1126.148,702,2570.614,1361.5,1882.885,1512.519,1685.068,987.438,844.353,1342.677,1333.531,1288.294,1502,1256.938,1176.844,276.562,1340.49,1109.406,720.425,645.125,681.024,671.028,310.547
13,1277.656,1062.557,664.709,2424.091,1265.534,1692,1549.385,1645.818,942.812,926.147,1440.412,1347.562,1199.794,1867.853,1227.844,1239.656,271.5,1281.804,1094.344,746.763,588.156,620.333,783.694,262.812
14,1286.828,1105.492,697.837,2397.636,1337.983,1787.962,1506.615,1549.273,906.188,843.118,1330.971,1313.531,1227.353,1553.235,1186.875,1545.5,260.688,1288.059,1161.25,805.15,589.375,652.119,860.222,273.922
15,1174.188,1102.836,796.581,2616.5,1401.69,1851.115,1510.904,1737.614,1074.188,848.647,1314.441,1421.625,1153.912,1528.618,1367.219,1418.281,183.094,1342.608,1028.719,690.162,615.625,675.333,827.833,265.625
16,1173.859,1102.115,757.581,2422.795,1350.138,1850.885,1517.365,1582.818,840.219,890.912,1319.5,1406.688,1339.706,1451.794,1268.469,1589.5,278.75,1302.823,1097.156,703.5,613.062,626.357,738.389,231.859
