1,359.375,241.714,1296.182,1943.875,352.55,185.562,442.125,302,502.25,399.875,289.75,1359.095,408.375,858.583,419.636,657,978.5,393.667,1296.125,1067.167,1268.917,471.625,107.25,762.833,911.167,572.917,362.25,409.562,350.364,275.188,384.25,394.818,713.476,701.778,260.333,321.125,473.938,556.25,246.625,620.125,365.75,292.429,521.8,449.125,1034.125,400,319.619,410.812,508.833,44.5,1754.812,1752.25,409.667,1492.25,209.75,735.75,757.688,3814.583,316.762,616.562,442.111,173.875,545.667,1064.562,326,260.5,273,666.077,508.5,309
2,398,251.571,1319.818,1909.125,458.85,204.062,385.5,296.688,370.5,254.375,266.75,669.381,589.5,864.583,449.364,500.625,770.625,371.5,1129.5,4095,1398.5,454.875,134.125,803.917,835.75,472.5,423.417,310.438,334.727,391.25,539.75,380.455,871.333,573.333,365.583,372.125,419.938,441.25,246.875,752.125,343.438,252.143,393.35,501.188,736.438,406.286,360.143,361.5,543.833,15.688,1681.75,1691.875,436.417,1435.875,268.75,717.917,856.188,3210.75,310.857,593.688,436.222,185.75,651.083,1021.625,248.833,227.375,222.192,714.577,456.643,379.333
3,321.625,275.905,1251.273,2029.625,356.4,256,456.062,336.438,364.125,318.5,266.562,400.81,493.625,916.917,388.636,675.25,898,442.417,1368.875,4095,1273.917,342.25,161.5,657.25,976,423.75,428,324.062,412.636,935.75,511.875,332.091,750.238,581.333,300.333,460.625,569.062,562.625,305.125,673,301,297.238,357,455.125,821.062,617.286,363.571,367.125,568.25,27.062,1475.938,1790.875,501.667,2356.25,304.25,632.667,690.688,3164.167,290,614.938,3685.444,166.188,441,1135.438,221.167,166.25,255.192,583.077,442.786,2124.083
4,425.833,274.143,1342.727,2079.125,389.45,194.375,380.812,252.5,326.5,320.875,357.625,273.19,495.25,891.583,336.727,532.75,735.75,368.25,1767.375,4095,1121.333,460.5,139.125,850.083,940.667,414.583,394.917,291.75,362.727,2346.688,399.5,304.818,789.524,565.889,326.5,403.5,547,415.875,197.5,602.875,364.938,247.952,447.75,485.062,923.375,390.19,284.905,369.625,494.333,43.375,1602.062,1767.875,444.75,2893.75,215.083,817.083,833.812,2327.583,279.762,620.5,3088.333,196.562,529.417,1107.5,255.667,258,290.462,631.308,512.286,2070
5,337.5,274.19,1215.182,1870.125,467.75,214.188,366.5,279.812,271.625,391.75,263.25,284.524,425.125,888.25,280.636,471.875,818.75,499.5,1398.25,2582.917,1226.75,381.125,109.5,861.667,927.75,403.75,404.083,309.188,404.091,2184.5,377.75,304.182,838.095,773.556,271.167,534.125,500.812,406,254.625,810,293.625,242.143,509.9,538.938,738.5,467.476,352.524,376.312,614.5,59.188,1427.438,1708.625,508.667,3199.25,201.25,863.083,974.125,1964.083,323.19,696.562,872.556,245.562,591.833,1716,292.5,294.125,229.385,672.385,471.429,362.5
6,366.042,272.238,1231.182,1935.25,416.5,215.75,360.938,329.312,317.5,424.5,259,283.333,363.25,900.417,402.364,448.875,951.75,400.083,1362.75,1392.167,1230.75,433.25,122,811.75,989.333,339.75,403.25,411.875,469.636,1099.688,368.875,381.455,725.048,518.667,303.583,388.875,445.25,412,272,668.75,300.688,320.952,474.65,517.625,854.375,507.524,279.571,302.625,472,31.875,1576.938,1521.25,557.75,2451.125,232.667,854.167,682.438,1196.083,280.81,654.75,342.667,163.812,523,1299.625,224,292.75,255.192,711.654,530.571,372.167
7,306.167,252.905,1224.727,2092.375,497.55,226.812,374.938,321.312,315.25,177.75,309.562,318.81,491.125,918.667,415.273,557.75,853.875,576.083,1439.5,1078.667,1299.333,470.125,200.75,920.75,953.833,488.5,353.583,368.938,418.545,507.75,537,331.182,793.238,520.667,341.917,288,461.375,551.125,296.375,649.25,298.75,295.524,365.35,588.625,906.75,415,405.095,446.875,523.333,16.875,1777.875,1742.875,400.667,1989.5,219.833,782.917,768.188,847.917,306,720.375,371,161.125,660.167,1108.625,200.417,203,225.308,725.538,510.429,329.167
8,427.958,213.81,1213.455,1991.75,426.3,250.375,366.062,325.438,391.125,299.375,255.438,235.095,393.5,863.667,372.909,513.25,1039.5,425,1162.875,806.333,1293.917,485.125,77.375,1003.25,1078.917,744.917,384.333,348.25,320.273,371.625,402.125,339.636,821.667,589.778,337.917,305.5,399.875,530.75,259.5,740,360.25,300.286,450.95,510.125,864.812,412.524,356.81,362.875,445,21.375,1772.25,1508.625,564.167,1536.125,267,780.833,898.688,749.583,296.571,596.875,338.667,152.75,435.667,1137.688,287.75,220.25,235.808,672.615,338.214,298.583
9,393,216,1113.455,1782.75,356.9,163.75,407.438,331.75,467.75,296.75,296.125,288.905,398.5,981.667,298.909,553.5,923.75,410.667,1244.75,781.5,1359.083,535.25,190,853.417,837.083,836.25,374.833,366.938,447.909,297.188,579.25,299.636,776.857,509.444,297.75,371.75,488.938,434.375,290.75,681.75,303.562,299.667,497.55,651,896.188,458.429,291.524,393.688,520.667,29.125,1629.875,1587.375,462,1488.5,274.583,689.583,730,716.667,2511.905,855.25,317.111,171.75,583.333,1085.062,196.25,367,301,660.077,467.571,245
10,422.875,265.429,1216.636,1823.375,376.15,194.938,403.625,285.312,349.875,446.625,305.875,296.762,542.5,785.083,403.364,520.75,892.25,506.167,1410.25,755.167,1381.25,464,113.5,782.5,981.417,626.833,330.167,406.25,438.455,302.75,416.625,319.182,768.952,627.333,320.25,320,420.312,631.375,339.25,689.875,298.312,321.762,498.65,541.812,877.875,326.143,337.381,398,634.75,46.125,1643.812,1585.75,413.083,1194.5,190.917,858.833,699.375,724,2501.048,803.375,388,181.062,495.667,945.938,258.667,281.625,252.923,734.654,543.929,242.917
