1,492.438,673,874.688,1195,477.375,346,348.5,498.812,755.423,446.875,328.167,1885.917,259.875,990.375,1054.875,1032.417,1069.714,512.667,409,510.938,563.167,472.65,1504.812,1723.625,348.571,300.65,418.25,307.812,571.5,309.25,373,321.167,481.938,784.714,685.048,372.667,919.875,2280.083,2654.762,1407.312,736.143,325.545,1810.917,517.188,552.5,667.81,1050.083
2,529.688,860.19,651.562,1126.5,559.812,288.083,308.75,455.062,825.962,773.375,332.583,1928.25,263,889,1228.25,1237.75,877.143,514.667,530.429,422.75,381.167,551.45,1552.688,1146.875,293.19,438.7,385.062,262,349.625,252.25,237,226,373.562,858.714,716.667,317.333,649.75,2267,3151.238,1334.875,866.857,344.091,2197.917,479.5,807.417,679.619,1077.667
3,580.562,852.905,760.688,1014,667.938,472.917,455.917,335.75,966.231,689.125,449.25,2052.25,316.25,955.125,928.25,932.667,1138.429,633.75,458.381,414.062,539.25,474.9,1386.438,1421.125,367.238,258.3,362.438,329.5,367,439.688,189.25,227.083,354.312,1367.095,734.571,453.083,584.625,1886.5,3660.428,1350.312,962.857,296.091,2292,360.188,554.167,531.714,1316.167
4,583.938,838.571,767.812,1157.5,501.375,382.25,533.583,367.875,795.346,597.75,467.5,2041.667,263.25,991.375,1029.375,898.917,991,485.167,417.857,490.125,456.083,517.9,1411.75,978,250.238,410.9,338.562,433.25,481.75,287.125,437.875,409.667,356.625,3746.857,752.143,483.833,775.625,2519,3149.238,1386.75,819.905,357.091,2310.917,740.938,665.333,588.571,1042.75
5,644.188,804.095,905.688,1133.75,518.25,404.5,383,417.375,857.962,547.25,445.667,1762.167,182.625,755.5,908.312,1094.667,982.619,600.833,433.048,514.438,518.417,392.45,1538.875,1387.375,307.905,360.2,434,418.75,261.875,476.25,289.375,368,402.5,3167.81,929.905,291.833,854.5,2645.583,2753.238,1230.812,852.905,208,1948.833,667.562,812.167,616.762,1132.667
6,569.125,753.238,743.75,1166.583,559.438,298.417,495.917,383.188,921.692,372.375,483.667,1825.167,773.125,694.25,994.625,981.25,990.857,568.417,433.667,555.375,508.5,488.95,1683.875,1389.875,331.095,207.75,374.688,365.125,331.125,456.125,325.75,163.333,307,1351.905,774.714,269,823.25,2390.75,2443.857,1298.938,957.905,274.818,2292.917,999.25,695.167,640.476,1101.583
7,565.75,833.571,839.188,1213.333,649.5,367.75,473.5,389.688,884.115,534.5,287,1958.167,264.625,515,769.125,1153.75,1136.333,488.417,519.762,585.75,496.583,437.75,1342.875,1555.125,321,301.6,416.125,267,267,348.188,159.5,360.667,308.875,920.524,923.857,324.5,753.75,2351.75,2227.619,1288.125,1052.952,171.455,2158.25,2451.812,821.667,549.905,947
8,573.438,875.714,911.062,1043.5,571.688,498.083,335.25,420.062,798.846,392.875,296.5,1856.417,306.875,910.625,1081.688,1146.833,1187.333,571.5,480.429,391.125,506,463.8,1348.438,1434.875,266.476,379.55,378.938,147.438,386.25,401.25,435.875,211.25,459.5,691.905,824.571,361.333,1039.25,2409.167,2062.238,1174.438,1095.667,355.182,2385.333,570.25,674.417,644.81,1136
9,503.062,848.714,741.312,1229,555.688,519.5,406.583,456.625,913.769,722,400.667,1920.417,429.625,931.125,1049.938,1263.5,987.714,521.417,481.667,418.25,567.25,395.65,1466.188,1400.25,367.048,436.45,384.062,267.25,241.875,390.688,431.25,297.417,433.5,792.714,844.714,239.667,641.75,2278.583,2076.952,1308.938,1059.19,2521.455,2461.917,415.375,731.333,428.905,1077.083
10,541.312,891.667,790.062,1463.75,3987,565.917,285.583,426.25,868.615,757.875,449,1881.75,213.375,999.875,985.75,1001.583,1127.143,571.5,440.333,663.188,491.917,366.1,1557.875,1468.875,307.762,289.25,278.938,349.375,471.75,343.5,402.875,271.333,472.938,497.333,792.81,415.167,831.25,2436.25,1939.19,1261,770.048,608.818,2189.333,567.812,752.083,651.048,1013.833
