1,814.083,517.875,373.75,946.25,738.091,1247.889,955.625,1013.5,1697.667,931.625,420.182,778.667,1019.875,1258.625,565.625,938.167,1221.583,749.562,1664.125,786.75,1127.25,398.625,1071.167,268.812,566.125,465.625,285.5,750,460.5,783.778,3595.625,1535.25,1549.3,467.75,466.938,328.5,324.625
2,3926.5,755.125,458.5,917.875,517.545,1466,818.25,1208.125,1760.25,949.375,298.818,775.5,1128.375,1438.75,711.625,708,1283.5,751.938,1620.625,771.5,879.875,368.625,891.833,368.125,494.375,321.5,313.833,618.889,533.625,742.111,2527.25,1298.875,1460.85,394.583,580.312,333.875,255.625
3,3804,657.625,392.125,827.75,611.182,1357.333,751,1019.75,1429.5,913.5,411.727,808.75,1251.875,1285.625,522,923.167,1148.25,668.938,1707.625,745.75,1142.625,458.75,986.25,300.875,577.375,406.625,393.083,787.667,436.5,704.444,3594.875,1419.25,1597.85,400.167,552.688,311.5,400.125
4,1249.333,559.125,489.625,945.5,637.364,1209.444,993.375,1006.75,1562.417,891.5,400.091,750.667,1260.75,1322.5,616.375,961.333,971.75,691.125,1687,778.583,986,343.625,768.833,403.938,560.5,528.75,359.667,768,542.875,791.667,1478.625,1154.75,1653.95,422.333,544.312,258,295.125
5,663.583,516.125,536.5,1101.25,652.545,1420.111,961.875,1147.125,1608.083,1047.75,418.818,613.833,1211.5,1600.125,674.25,1038.5,1159.5,666.188,2015.875,731,1081.5,389.5,1148.417,321.375,542,477.375,326.25,730.444,502.5,870.778,939.25,935.125,1564.5,362.917,674.625,349.375,392.875
6,656.75,278.5,379.375,1094.75,455.182,1349.556,914.875,1143.75,1725.167,871.375,513.545,820.333,1020.875,1642.875,609.5,1114,1210.25,698.875,1890.375,733.083,1020.5,576.625,867,313.312,438.875,501.5,272.167,690.778,429.25,804,893,1165.75,1507.1,326,507.938,415.625,326.875
7,1690.75,449.25,326.25,922.5,707.364,1489.111,714,1082.25,1596.333,868.5,578.455,688.083,1015.25,1367.875,589.625,1011.833,1345.083,660.25,1916.75,819.417,860.375,271.25,855.333,358,538.5,506.5,280,758.222,453.75,709.222,976.125,1005.5,1483.1,417.333,535,216.25,306.375
8,3489,363.875,375.125,984.25,534.273,1319,918.375,851,1687.917,1133.375,384.091,705.333,1073.5,1478.375,663.75,755,1331.917,735.562,1665.25,862.833,863.625,455,948.167,332.875,460.75,526.75,409.583,718.333,517.125,755.556,788.125,1133.375,1531.45,418.833,450.938,306.25,306.875
9,3557,282.125,422,963.125,491.818,1456,788.5,1076.5,1711.917,1010.5,412.909,660.417,1118.5,1319.375,647.125,1047.833,1272,580.625,1962,826.333,998.375,389.75,872.167,346.062,560.75,310,304.333,640.111,540.25,685.111,655.25,844.375,1535.9,406.917,416,286.75,361.5
10,1482.5,469.625,334.5,784.625,679.455,1340.667,668.125,1048.75,1681.25,1073,380.636,638.583,1227.375,1251.625,573.125,837.833,1190,647.5,1772.125,843.833,1239.375,431.375,886.083,375.875,509.625,410.375,379.583,701.222,696.125,955.333,725.125,836.75,1433.5,400.167,491.625,221.625,307.75
