1,494,413,497.875,686.619,529.038,1281.375,599.125,932.812,331.417,2839.476,344.938,561.083,718.333,812.75,198.25,286.75,254.65,548.417,312,816.375,619.667,358.688,853.714,1261.091,1014.625,932.083,871.875,788.238,837.438,795.417,1087.583,369.062,2451,576.875,917.429,423.625,695.25,591.524,528.846,874.25,353.714,1264.952,376.5,354.192,604.312,623.375,441,675.4,313.375,984.333,3389.875,2184.556,593.938,377.583,256.312,441.571
2,509.75,183.875,331.125,588.762,697.5,1209.312,536.625,1142.438,376.75,2787.667,397.812,616.667,808,717.583,369.583,292.55,280.4,378.25,381.25,846.875,697.083,299.25,922.571,4050.273,860.688,848.167,632.125,693.571,1324.812,1174.75,1189,367.438,1967.062,406.062,1155.143,370.75,526.062,504.19,476,541.167,297.952,1588.19,369.688,421.462,595.438,205.5,409.714,568.15,359,824.476,3789.625,2291.556,476.25,507.583,229.875,387.429
3,483.625,284.75,304.812,673.81,542.769,910.75,505.312,1090.938,489.167,2784.857,540.875,819.417,648.083,494.083,457.917,334.25,378.3,454.667,488.625,795.938,857.917,331.438,1041.667,4027.636,780.625,1002.583,929.375,753.381,828.688,869.667,1136.917,473.125,1926.062,470.5,1026.714,449.625,618.625,484.857,640,640.917,315.19,1399.81,504.938,324.077,627.312,324.875,426.619,656.8,356.25,850.905,3577.25,2607.222,589.625,198.583,275.25,377
4,585.812,488.25,451.062,706.619,566.577,885.312,507.625,777.5,408.333,2824.905,408.312,835.667,598.917,719.75,453.25,488.95,437.8,491.333,411.062,657.312,862.583,439.688,682.952,2823.909,832.312,929.333,798.812,788.714,866.75,1369.833,1015.25,441.625,1305.688,540.125,950.667,697.75,640.062,612.571,482.462,519.583,289.048,1258.571,385.688,453.731,687.625,404.375,360.952,470.35,550,842.619,3662.375,2725.333,483.312,396.333,379,393.571
5,559.75,459.5,434,679.857,678.923,893.312,501.562,1145.875,533.25,2660.333,509.062,789.75,635.667,687,463.75,300.8,313.65,354.75,480.5,766.312,758.833,260.125,907.095,820.182,768.562,912.917,895.75,783.381,1097.25,1244.333,836.5,386.312,789.688,547,1010.238,356.5,630.812,582.476,672.692,700,412.81,1644.143,531.125,398.731,653.312,397.25,449.048,636.05,488.5,1055.286,3740.125,2848.333,776.75,335.083,380.438,399
6,684.875,359.875,526.438,722.381,647.731,1019.5,585.062,1125.125,451.417,2695.524,327.562,782.583,709.75,470.167,308.583,383.7,435.15,476.083,410.938,917.5,812.583,297.812,926.143,806.364,760.75,1246.333,929.188,771.81,877.75,985.667,725.25,402.094,570.375,666.438,868.048,755.375,650.438,519.238,624.346,665.25,398.667,1202.381,346.375,330.692,776.375,207.375,529.81,678.75,377.25,1161.714,3607.625,2523.111,617.562,493.25,352.875,463.786
7,537.938,307.5,460.062,720,655.808,965,637.188,1048.938,413,2666.952,441.625,695.75,686,488.25,333.833,417.6,484.15,285,317.312,795.312,704.667,313.438,1219.762,1148.909,959.188,954.667,770.375,773.667,1041.125,860.083,819.25,355.75,479.312,568.812,887.095,753.25,471.562,642.857,611.923,451.083,251.714,1477,517.188,373.423,742.625,353.125,475.905,686.95,432.125,1016.238,3670.375,2754.889,647.375,535.5,338,447.714
8,518.438,184.25,569.25,673.19,673.269,908.438,603.938,1136.688,535.417,2844.381,539.812,735.083,3479.833,722.75,392.333,450.65,294.85,385,380.5,867.25,697.583,354.188,750.19,924.364,867.688,1021.667,895.75,675.048,1055,900.417,978.5,318.094,448.438,669.375,998.048,526.75,597.438,447.19,549.731,639.917,324,1143.476,371.188,362.808,722.125,261.125,415.714,538.4,417,1042.286,3376.625,2807.778,632.375,420.833,240.312,409.714
9,561.562,326.375,474.812,628.667,698.692,737.5,712.688,4095,542.5,2710.428,491.75,640.167,3937.083,620.25,269.333,435,291.2,466,523.5,866.5,1040.667,455.625,969,1097.273,719.562,767.25,1078.562,824.524,982.875,989.333,1225.25,320.875,324.25,517.562,1085.381,713.875,689.875,531.571,592.192,886.167,300.905,1550.095,477,475.5,564.938,490,462.524,852.55,329.5,1009.048,3797.625,2525.333,678.625,446.917,309.875,243.929
10,615.938,415.375,326.625,801.81,664.923,843.5,455.812,4095,363.5,2833.619,503.562,568.833,1065.417,846,289,406.45,412.45,349.25,390.75,679.875,726.25,356.125,723.238,1035.273,614.812,916.5,862.625,878.714,1095.188,1030.5,1163,374.375,421.188,501.562,1029.381,453.75,775.562,516.143,718.692,813.333,315.857,1614.095,477.625,363.538,724.875,364,431.905,656.4,395.875,945.571,3799,2443.333,522.688,304.25,256.5,554
