1,1893.476,2633.583,1432.688,650.188,533.812,1359.312,467.048,813.375,605.667,511.312,555.65,277.219,249.85,89.038,501,598.167,477.909,553.346,1065.438,2306.167,311.182,1751.312,1623.929,1207.091,533.55,1257.269,704.577,568.692,464.6,258.1
2,1896.143,2904.75,1067.062,627.312,2235.75,1416.062,1972.619,669.938,514.167,427.188,592.1,247.938,218.65,123.154,404.5,1839.333,615.545,574.423,919.562,2525.833,219.364,1681.562,2324.428,1322.636,658.3,559.308,848.654,3754,378.45,344.2
3,1928.476,2583.667,1163.062,582.188,758.625,1407.812,1555.19,664.938,525.833,430.5,503.15,276.906,177.5,89.192,423.083,458.083,395,572.154,1087.125,2340.417,169.091,1901.25,2904.714,1279.455,781.15,393.808,866.538,3778.923,465.65,329.55
4,1820.714,2536.333,1122.812,708.938,256.5,1448.812,643.81,732.938,538.5,415.312,560.6,276.562,187.6,114.769,438.75,404.083,561.273,646.385,1090.5,2421.25,185.455,2980.312,3491.428,1209.364,613.65,347.769,987.769,1977.5,395.4,414.45
5,1918.762,2577.5,1386.5,1426.562,268.25,1386.438,460.238,629.375,456.167,512.438,490.35,209.594,246.3,106.538,429.417,475.917,597.818,593.538,1082.688,2334.25,239.818,3942.125,2909.714,1047.091,722.95,381.962,929.846,707.538,419.75,309.25
6,1924.238,2173.167,1397.812,1248.062,296.812,1482.438,498.095,728.188,582.833,409.562,519.4,250.031,289.05,117.308,409.583,496.417,556.818,618.962,1190.625,2343,171.455,3814.125,2193,1226.909,722.1,375.385,852.346,465.731,428.4,329.1
7,1935.381,2301.583,1137.125,1035.75,264.438,1599.625,411.952,613,431.583,542.812,550.3,295.719,174.35,61.615,445.583,634.5,510.818,520.346,1113.5,2325.917,181.455,2843.875,1871.857,4095,978.8,458.462,916.308,531.231,412.8,393.95
8,1864.429,2217.25,1041.312,794.875,348.188,1455.125,486.619,705.062,482.75,575.125,468.1,266.656,146.95,75.423,307.167,442.25,571.455,575.615,1030.25,2089.333,175,2022.438,1172.857,1255.636,1005.9,404.462,915.577,568.692,387.55,404.9
9,1967.381,3700.167,998.5,570.438,313.562,1175.125,461.571,606.938,505.583,584.188,529.15,233.281,225.6,46.538,408.583,486,624.091,547.423,1076.5,2260.583,276.636,1237.875,1090.429,1089.818,1458.3,431.846,831.423,485.615,430.4,421.65
10,4095,4014.167,1142.938,604.812,278.312,2287.812,540.619,726,557.583,580.375,629.65,269.375,206.9,56.692,505.25,498.667,614.909,599.654,986.938,2190,254.545,1349.5,989.286,1271.909,2359.35,390.962,951,457.269,380.4,386.15
11,4095,3689,992.312,561.062,284.312,1529.5,2117.905,726,495.333,515.938,550.35,305.094,175.65,63.962,631,985.667,608.091,641.808,994.562,2337.583,189.545,1634.562,956.214,1137.545,2328.65,462.385,877.192,553.769,445.25,288.2
