1,736.182,1023.083,569,1083,552.5,333,662.222,521.556,513.333,725.562,408.625,505.25,423.375,339.375,627.25,881.583,938.125,320.818,498.125,242.25,183.75,497,590.75,379.75,416.75,932,313.333,417.75,1686.083,357.75,603,513,433.556,1145.875,701.75,974.875,1128.417,538.5,460.5,835.125,875.364,498.444,405.75,394.75,334,717.25,247,388.222,601,947.875,1313.222,499.556,1839.111,905.167,514.25,577.667,1711.625,283,372.917,567.5
2,744.091,1072.75,609.917,1348.917,450.583,405,612.444,590,254.111,551.938,439.062,688.5,301.875,310.75,562.5,838.25,1006.875,307.909,472.5,285.375,189.938,399.778,456.917,426.75,372.667,669.25,363.667,468.875,1847.583,365.417,638.5,1754.25,493.889,1158.75,668.125,817.625,1221.75,306.375,367,646.5,863.818,762.111,322.833,278,408.875,647.375,257.833,334.667,823.125,624.5,1477.333,673.667,630.222,848.417,606.125,500.333,1522.625,431.25,456.667,537
3,560.636,1255.75,593.583,1054.917,453.667,501.625,614.333,431.444,301.333,713.188,435.75,466.75,470.75,313.875,425,737.917,926.5,403.182,432.625,311.5,174.438,502.111,590.917,443.75,283.417,571.625,3279.083,434,1676.25,359.833,480.5,3579.5,304.778,1034.5,510.125,818.75,1371.833,258.75,383.167,623.25,833.636,659.222,316,383.125,462.25,505.25,308.833,271,485.875,772.5,1153.667,482.667,345.444,656.25,597.938,363,1401.875,368.25,314.667,326.25
4,704.545,1219.167,827.833,1210.5,525.25,436,595.111,628.667,308.667,549.688,232.5,586.125,422,361.125,560.417,728.167,1041.125,171.182,352.75,249.125,159.312,403.778,372.25,358.25,396,835.25,1824.167,555.5,1506.417,424.5,404.75,3224.25,564.667,1176.125,781.875,1053.75,1285,620,459.333,864.625,917.091,623.444,384.167,406.75,496.75,809.25,422.667,400,674.375,732.625,1193.778,572.889,379.889,871.833,571.438,580.556,1578.625,395.875,365.083,648.25
5,851.818,1011.417,603.333,1195.083,476.833,368.375,618,574.111,302.556,737.875,358.062,585.5,335.625,441.75,573.417,850.083,963.75,334.364,399.25,296.75,203.688,461.889,641.167,356.417,304.167,883.5,1655.75,379.375,1906.583,505.25,540.875,2465.25,476.444,1120.875,677.75,1055.625,1174,439.625,600,765.375,824.727,604.111,232.583,294.125,471.375,496.75,253.167,368.556,754.875,786.25,1398.111,613.778,555.333,747,616.125,432.222,1423.062,477.125,457.917,572.75
6,738.727,1018.333,689.583,1125.583,551.75,428.625,557.444,555,275.333,673.875,366.25,688.5,475.25,397.75,463.833,645.5,688.625,234.091,429.375,320.625,231.938,276.222,420.167,424.25,336.333,929.75,382.25,592.875,1703.917,439.917,550.5,577.25,598.333,1165.25,525.625,743.125,1248.75,293.625,420.833,621.875,752.364,962,309.667,370.25,291.125,558.375,363.667,326.556,357.875,688.25,1167.889,477.444,371.556,819.583,535.375,504.889,1426.25,456.625,437.667,424.25
7,727.091,954.667,800,865.833,502.25,301.875,628.778,625.556,356.333,511.438,521.938,446.125,419.25,343.125,451.25,651.75,1132.125,281.455,511,239.875,240.312,419.444,528.25,336.25,303.583,886.5,408,430.875,1942.917,518.667,455,332.5,360.222,1036.625,884.75,810.375,1012.75,555.75,457.667,791.25,825.636,637.444,266.75,327.25,558.25,628.375,458.167,434.333,683.125,775.5,1401.556,484,622.889,983.167,619.312,588.222,1423.688,533.5,523.167,527.375
8,709.818,1132.333,786.333,1013.167,478.25,314.25,415,811.556,390.778,545.688,446.875,482.125,434.5,333.5,454.25,939.917,956.375,236.273,505.625,264.75,174.875,450.778,370.833,563.417,286.417,939.375,342,386.5,1830.333,402.083,507.5,472,560.778,1393.5,680.5,897.25,1224,437,452.167,670.25,920,711.111,330.167,517,264.625,554.625,174.667,368,591.875,779.75,1301.444,456.444,291.222,755.417,653.25,412.111,1543.062,574.125,229.583,518
9,894.909,1144.667,825.75,1191,2229,402.75,565,526.556,350,1245.625,385.688,641,440,312.625,595.167,680.5,912.125,262.091,494.625,289.875,235.75,520.444,462.5,467.583,449.25,1000.75,401.167,395.5,1761.417,363.5,563.875,212.25,416,1389.125,850.625,842.5,1319.667,298.875,421,574.5,1069.273,914.333,249.917,387.25,189.5,649.375,297,340.111,750.375,690.25,1338.333,465,286.667,728.833,552.062,571.111,1390.125,545.625,421.083,500.25
10,816.909,1134.167,678.417,1295.917,981.75,185.375,783.333,707.111,415.444,658,337.938,531,378.5,466.375,457.833,699.667,910,262.636,310.5,240.25,250.375,258.111,513.167,537.917,450.333,652.5,454.75,470.375,1895,450.417,534.875,205.5,370.778,1138.75,612,1099.25,1444.083,325.75,466.5,1037.625,829.182,747.444,281.75,330.25,372,704,279.167,421.111,698.5,597.625,1276.778,402,415.667,913.583,796.25,418.778,1567.125,370.25,318.083,605.375
