1,1259.75,764.875,1709.125,2409.889,2170.125,2385.625,1110.25,755.25,289.667,270.667,417.833,692.875,4095,544,343.375,830.167,646.909,455.625,590.417,1820,694.625,384.333,951.625,912.083,3445.5,2873.667,420.75,194,421.25,1971.5,425.375,1458.5,2533.889,1916.222,438,423.583,588.5,1281.875,455.5,240.583,581.5,582.625,802.583,618.778,883.875,525.571,400.083,576.667,392.438,357.571
2,1372.375,809.5,1840.875,3043.556,1358.625,1890.125,1122.875,639.917,398.222,338,353.417,968.5,4095,346.889,377.125,733.5,625.182,459.25,1046.333,724.778,747.25,194.25,792.5,848.75,2769.5,1949.111,199.083,255.25,334.375,1876,1254.75,1330.167,2582.778,1902.444,171,258.667,654.375,1329.5,482.875,294.083,632,611.375,968.083,810,729.125,561.381,383.917,758.083,447.25,310.429
3,1512.25,818.875,1420.75,4095,1227.875,1685.625,1008.25,776.083,319.778,234.667,311.083,1032.5,2450.083,278.333,299.125,841.833,553.364,767.75,3607,637.111,974,290.333,710.75,825.5,669.167,606.333,266.083,279.375,398.125,2370.125,2847.75,1365.667,2845.222,1957.333,392.778,259.417,550.375,1360.625,519.5,279.083,437,347.625,968.917,727.556,853,554.857,386.5,831.5,489.188,331.095
4,1340.375,672.25,1445,4095,1156.25,1086.25,944.625,1015.833,235.556,340.778,355.5,865,1213.917,351.222,205.75,959.417,505.636,573.125,3700.917,667.222,689.5,414,677.625,1110.167,699.333,573.222,126.417,218.25,495.875,1688.875,2316,1454.083,3103.556,1960.556,307.889,370,642.625,1455,429.625,250.083,371.667,315.375,677.25,653.444,656.875,733.762,272.333,619.417,471,450.667
5,1333,822.625,1625.375,4095,998.625,864.875,1173.375,844.417,301.333,236.333,411.083,943,1237.083,327.889,279,920.083,668.455,383.125,1386,538.333,820.375,367.25,1114.25,892,609.25,455,319.917,391.375,471,1763.625,1970.875,1493.333,4095,2768.111,403.111,300.417,581,1197.75,451.75,384,490,206.625,811.25,723.222,705.75,537.286,339.917,530.833,369,426.19
6,1297.25,773.438,1215.75,4095,1251.625,714.25,1005.25,792.5,388.556,283.333,391.5,933.625,1268.667,286.889,275,600.417,630.545,340,803.083,853.889,944,287.083,696.75,793.25,645.417,471.667,341.25,330.25,662.125,1913.125,1935.375,1200.083,4095,2018.111,200.222,218.5,505,1314.5,468.125,335.833,492.333,340.125,861.917,878.111,678.125,539.714,374.167,536.417,558.125,353.143
7,1337.5,720.812,1565.125,4095,1013.125,863.75,899.25,682.167,412.333,160.222,396.25,738.875,1296.583,281.889,228.5,776.417,575.909,839.25,659.667,600.667,700.75,442.583,832.375,858.667,560.833,494.333,335.083,232.375,633.875,1659.875,1672.125,1494.833,4095,2120.667,332.111,265.083,709.875,1315.25,307.875,276,503.667,398.625,874.333,501.778,473.5,466.524,605.667,496.75,476.75,383.476
8,1290.125,802,1583.125,4095,1255.125,1190.5,772.875,663.167,305.778,165.333,537.25,743.625,1387.667,527.111,254.875,817.083,450.182,493.625,499.833,820.667,850,296.167,769,1186.75,660.75,509.556,436.5,193.375,579.75,1894.5,515.25,1381.333,4095,2444.667,290.333,457.417,658.75,1268.625,662.875,348.333,526.667,255.625,878.5,707.444,850.5,548.333,301.75,772.5,432.625,364.429
9,1406.5,724.25,1375.125,3101.556,1288.625,1169.875,852.625,493.333,299.778,174.889,372.167,710.875,1154.833,270.111,287.5,981,545.091,629.875,628.583,906.222,838.375,305.167,819.375,884,618.667,417.778,267.5,232.5,345.125,1832.875,653.75,1860.75,3578,2171.222,339.889,317.167,462.25,1570.375,575,384.25,576.833,334.625,914.917,789.444,970.25,2921.667,374.75,762.833,410.375,356.381
10,1287,707.438,1740.25,2206.222,1684.5,944,1246.125,616.75,180.556,362,320.917,672,1339.5,306.222,387.125,842.833,477.909,593.125,547.167,933.778,842.375,328.333,733.125,1064.667,696.333,562.778,193.5,205.25,526,1989.125,348,1510,3100.222,3114.111,306.111,351,823.5,1144,496.75,324.667,433.333,338.25,746.333,802.444,960.75,2682.952,304.75,588.75,423.375,370.19
11,1291.5,788.875,1307.5,1968.333,1320.375,625.875,920,617,3265.889,346.111,497.25,999.25,1010.667,275.111,300.25,809.75,545,602.875,628.5,535.778,991.25,425.25,890.5,889.917,752.083,404.889,419.5,334.375,419.625,1900.125,239.25,1457.583,3164.889,4095,385.778,318.167,623.25,1403.75,422.5,271.167,476.5,201,797.917,746.444,777.875,2180.286,374.75,691.5,566.812,364.095
